slide,fold,lambda,dice,iou,entropy
test_027,7,0.1,0.5521648667393243,0.38137275029083695,0.6141956420765016
test_027,8,0.0,0.544535816902804,0.3741320626276379,0.5570107893503873
test_027,8,0.05,0.5511740810462696,0.38042809273062983,0.5633999367495874
test_027,8,0.1,0.5541464381254335,0.38326594942780784,0.6551136711195911
test_027,9,0.0,0.5512731596155751,0.3805225003419505,0.5900858764383808
test_027,9,0.05,0.5518676310314079,0.38108921729611384,0.6286060767107806
test_027,9,0.1,0.5483503418210641,0.3777428932191243,0.6017599266290695
test_029,0,0.0,0.04565387156845077,0.023360177045552346,0.12251665497601133
test_029,0,0.05,0.039166216135039345,0.019974266282703265,0.5249874275347975
test_029,0,0.1,0.033279269538054906,0.016921197312156383,0.9192221424809335
test_029,1,0.0,0.014657295608818406,0.007382753403933434,0.9971962356058037
test_029,1,0.05,0.04541358803387998,0.023234372118753458,0.19142742118833717
test_029,1,0.1,0.037243947858473,0.018975332068311195,0.9996213795580725
test_029,2,0.0,0.04565387156845077,0.023360177045552346,0.14019773794890728
test_029,2,0.05,0.04565387156845077,0.023360177045552346,0.489416490072609
test_029,2,0.1,0.03412026190905268,0.01735623052007578,0.8911154862848324
test_029,3,0.0,0.04565387156845077,0.023360177045552346,0.111608814683461
test_029,3,0.05,0.04565387156845077,0.023360177045552346,0.17825795029901761
test_029,3,0.1,0.04565387156845077,0.023360177045552346,0.4791506130683492
test_029,4,0.0,0.04565387156845077,0.023360177045552346,0.12076862694607679
test_029,4,0.05,0.04565387156845077,0.023360177045552346,0.2316139306762705
test_029,4,0.1,0.04565387156845077,0.023360177045552346,0.703710505807955
test_029,5,0.0,0.04565387156845077,0.023360177045552346,0.1038670686507172
test_029,5,0.05,0.03520153781462125,0.01791610615140027,0.6254408963583018
test_029,5,0.1,0.031837568330630145,0.016176291051153705,0.9661754769933325
test_029,6,0.0,0.04565387156845077,0.023360177045552346,0.11141981319702614
test_029,6,0.05,0.04565387156845077,0.023360177045552346,0.26762339781844263
test_029,6,0.1,0.04565387156845077,0.023360177045552346,0.6141686944135554
test_029,7,0.0,0.03796479846218538,0.019349703018798604,0.38975811102330726
test_029,7,0.05,0.03604253018561903,0.018351991191044227,0.7865640856508449
test_029,7,0.1,0.04565387156845077,0.023360177045552346,0.6651816981246038
test_029,8,0.0,0.04565387156845077,0.023360177045552346,0.10627603919770565
test_029,8,0.05,0.04277046915360125,0.021852556626358113,0.8165124570073264
test_029,8,0.1,0.03460082897819427,0.017604988079955988,0.8678279117613599
test_029,9,0.0,0.04565387156845077,0.023360177045552346,0.1651874512212299
test_029,9,0.05,0.042650327386315856,0.021789835502086914,0.3802117414479344
test_029,9,0.1,0.04565387156845077,0.023360177045552346,0.9611661772170407
test_030,0,0.0,0.037941787941787944,0.01933774834437086,0.24567377211887179
test_030,0,0.05,0.05962280962280962,0.03072743274786668,0.6501193150195657
test_030,0,0.1,0.0865013365013365,0.045205851538551084,0.8778525226908481
test_030,1,0.0,0.024725274725274724,0.012517385257301807,0.9941356992643476
test_030,1,0.05,0.1040986040986041,0.054907182580089295,0.5742958930602633
test_030,1,0.1,0.033783783783783786,0.01718213058419244,0.9991997247110532
test_030,2,0.0,0.02376002376002376,0.012022843402464683,0.4077440771277304
test_030,2,0.05,0.06378081378081378,0.032940905779039,0.7040230215746698
test_030,2,0.1,0.10335610335610336,0.054494206075790794,0.9146487494333055
test_030,3,0.0,0.026136026136026135,0.013241047246464039,0.34006395147349505
test_030,3,0.05,0.0694980694980695,0.036,0.6394952352073503
test_030,3,0.1,0.10795960795960796,0.05705988540930853,0.761742433491826
test_030,4,0.0,0.039204039204039205,0.019993941229930322,0.27982684429533794
test_030,4,0.05,0.08382833382833382,0.04374782035881738,0.6896241849235589
test_030,4,0.1,0.12303237303237304,0.06554847897464298,0.7983454180547914
test_030,5,0.0,0.019230769230769232,0.009708737864077669,0.28416767816499067
test_030,5,0.05,0.05583605583605584,0.02871982890314696,0.7527308542468054
test_030,5,0.1,0.06043956043956044,0.031161473087818695,0.865863840604817
test_030,6,0.0,0.04492129492129492,0.022976719456154343,0.5732250165759549
test_030,6,0.05,0.08122958122958122,0.042334184660629985,0.7046399793235619
test_030,6,0.1,0.08761508761508761,0.04581456747942227,0.7870792305496743
test_030,7,0.0,0.022275022275022274,0.011262952395254542,0.7829621324405877
test_030,7,0.05,0.02702702702702703,0.0136986301369863,0.7670829340736028
